Park_Quality_Index,site_name,Park_Type,Shape_Area,Park_Area_Log,Park_Area_MIN_MAX,Sports_Surface_Count,Sports_Log,Sports_MIN_MAX,Combined_Amenities_Count,Combined_Amenities_Count_Log,Combined_Amenities_MIN_MAX,Transit_Stop_Count_350m,Transit_Score,Water_Body_Count,Water_Body_Score,Path_Count_NonZero,Park_Path_Length,Pathway_Score
0.2294933,,SUBNEIGHBOURHOOD PARK,1201.937573835113426,3.080243090313749,0.019668207617879,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,8,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2294604,,SUBNEIGHBOURHOOD PARK,1198.250909463463358,3.078910056489458,0.019339082176623,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,14,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2292183,,SUBNEIGHBOURHOOD PARK,15274.294826433262642,4.183989601255504,0.292182716123460,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,13,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2292027,,SUBNEIGHBOURHOOD PARK,1169.767919762248994,3.068470813812052,0.016761637936300,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,2,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2290520,NORTHERN HILLS DEPOT,PARKS DEPOT,15039.229560388466780,4.177254464982294,0.290519814059430,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,14,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2290358,,SUBNEIGHBOURHOOD PARK,1151.687065774683560,3.061711419997585,0.015092746696432,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,5,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2288363,,NON-PARK,14739.713783255176168,4.168518513687454,0.288362911682080,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,6,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2286064,,SUBNEIGHBOURHOOD PARK,1106.436236091634100,3.044318729828953,0.010798499452244,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,6,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2285230,NORTH MOUNT PLEASANT ARTS CENTRE,SUBNEIGHBOURHOOD PARK,14315.279812364466125,4.155830178107061,0.285230167433136,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,9,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2285154,,SUBNEIGHBOURHOOD PARK,1097.076189147962168,3.040632474338667,0.009888364658427,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,6,1.0000000,0,0.0000000,0.0000000,,0.0000000
