asset_type,material,number_cou,Shape_Length,Shape_Area
BALL DIAMOND INFIELD,MOWED TURF,,72.919354311202113,168.485212996578753
BALL DIAMOND INFIELD,MOWED TURF,,79.871398712133299,410.994477781564626
BALL DIAMOND INFIELD,MOWED TURF,,79.373588225667945,371.090346975817511
BALL DIAMOND INFIELD,MOWED TURF,,76.662558033882945,304.837906506298168
BALL DIAMOND INFIELD,MOWED TURF,,95.146820750620492,504.288670155480077
BALL DIAMOND INFIELD,MOWED TURF,,75.675410859097497,272.193873343081691
BALL DIAMOND INFIELD,MOWED TURF,,73.535692953102000,343.022845105396527
BALL DIAMOND INFIELD,MOWED TURF,,80.111141207220626,359.036288271198032
BASKETBALL,ASPHALT,1,70.893379030101727,332.168053184891903
SOCCER,MOWED TURF,,239.923506007867701,3199.321323631822452
TENNIS,ASPHALT,1,104.420350968174716,581.058777610053312
HORSESHOES,ASPHALT,,119.824322786029214,763.045416458277259
TENNIS,CONCRETE,1,103.817496162258806,574.647338155434909
BASKETBALL,ASPHALT,1,73.334017816610086,322.538651415808715
BALL DIAMOND INFIELD,RED SHALE,,115.630173354383359,897.490029691330164
VOLLEYBALL,SAND,,157.270282137300484,1416.710156983383968
SOCCER,MOWED TURF,,341.004835019127199,7042.408779610787860
TENNIS,ASPHALT,1,105.588202844430498,591.037403183877927
BALL DIAMOND OUTFIELD,MOWED TURF,,327.964834267708909,4986.485704557786448
BASKETBALL,CONCRETE,1,50.360243063031831,149.470324619633033
BASKETBALL,ASPHALT,,75.607283043602166,292.403700818923028
SOCCER,MOWED TURF,,339.908594631931464,6994.233185184759350
BASKETBALL,ASPHALT,1,79.110913974674546,400.294449427430095
SOCCER,MOWED TURF,,239.970223081931891,3199.692405383397272
TENNIS,ASPHALT,1,101.423109270155351,540.957983673637500
TENNIS,ASPHALT,1,104.042298853810706,572.772662422584403
TENNIS,ASPHALT,1,105.659129060277081,583.802454677378250
BALL DIAMOND INFIELD,RED SHALE,,135.007711519097171,1311.802606995079259
BALL DIAMOND INFIELD,RED SHALE,,134.526911790830326,1303.014142187229709
ICE AREA,CONCRETE,,147.537548520180991,1354.263682621523913
TRACK AND FIELD,RED SHALE,,871.789147511391661,8059.357187268987218
VELODROME,CONCRETE,,822.611271541149449,3649.867489843270960
BALL DIAMOND BASELINE,RED SHALE,,169.267006032014848,614.727196473575418
TRACK AND FIELD,ASPHALT,,314.924527217911589,1832.894625896261687
BALL DIAMOND INFIELD,RED SHALE,,128.035249169528527,1051.364333982151265
TENNIS,ASPHALT,1,104.040521109535689,578.668380954197346
BALL DIAMOND INFIELD,RED SHALE,,100.487742403172447,756.388073255784207
SOCCER,MOWED TURF,,239.446096518301857,3189.504423624986430
BALL DIAMOND INFIELD,RED SHALE,,110.012824166330120,927.304266236082071
BALL DIAMOND INFIELD,RED SHALE,,103.810082858926393,824.947712924301527
BALL DIAMOND INFIELD,RED SHALE,,127.442470094731092,1138.817044001710656
BALL DIAMOND INFIELD,RED SHALE,,142.508801655052906,1331.744932213729044
BALL DIAMOND INFIELD,RED SHALE,,141.343768604932620,1290.644672582954399
BALL DIAMOND INFIELD,RED SHALE,,141.593141483615227,1306.969999143890846
BALL DIAMOND INFIELD,RED SHALE,,140.920946378302034,1292.366635964466695
SOCCER,MOWED TURF,,223.536685689317153,2897.700720124080817
SOCCER,MOWED TURF,,248.097565169793768,3488.829529238467785
BALL DIAMOND OUTFIELD,MOWED TURF,,346.158064957585225,5257.817830030722689
BALL DIAMOND OUTFIELD,MOWED TURF,,270.386880614425422,3304.961398800819552
SOCCER,MOWED TURF,,246.810348206321606,3472.074903553163040
SOCCER,MOWED TURF,,237.620658954653521,3296.708813890422789
SOCCER,MOWED TURF,,221.619999997317791,2742.465924931087557
